binary,complex
"[1, 0, 1, 1]",(2.2797150348352218+0.9657808040755879j)
"[1, 0, 0, 0]",(2.9262302849436956-3.159693830612543j)
"[0, 0, 0, 0]",(-3.1999391370551065-3.488642845719218j)
"[1, 0, 1, 0]",(2.4880207803430237+2.8002798074348108j)
"[0, 1, 0, 0]",(-1.203291848669732-3.282548885814682j)
"[1, 0, 0, 0]",(3.243170219594722-3.4053780594511465j)
"[1, 1, 1, 0]",(1.637511206740574+2.5298072632995177j)
"[0, 0, 1, 0]",(-2.779603724947439+2.943478467823433j)
"[1, 0, 0, 0]",(3.1418321584178477-3.0106197284761658j)
"[0, 1, 0, 1]",(-0.7782500109677859-1.5536003438934447j)
"[1, 0, 0, 1]",(2.252189429119084-1.087347204430941j)
"[1, 1, 1, 0]",(0.6572645863073868+3.3870028932346985j)
"[0, 1, 0, 0]",(-1.5276814595040102-3.180092035583046j)
"[1, 0, 1, 1]",(3.05800875355537+0.8093006642819365j)
"[1, 1, 1, 1]",(0.8166125520553613+0.10023763517953721j)
"[1, 0, 0, 0]",(3.4554835543364355-3.3923764643248098j)
"[0, 1, 0, 1]",(-0.5072921677777504-1.483560515084722j)
"[1, 1, 1, 1]",(0.041757365266499646+0.9175958335193146j)
"[0, 0, 0, 0]",(-3.1317984804689107-2.742153130856654j)
"[1, 1, 1, 0]",(1.315859300961421+2.9047076041012327j)
"[1, 0, 0, 1]",(2.5516614119392447-1.000314364144569j)
"[0, 1, 1, 0]",(-1.8667263386615163+3.7418568818207394j)
"[0, 1, 0, 0]",(-1.2406322542550883-2.935943119250637j)
"[0, 1, 1, 1]",(-0.533188785129068+1.0070388997910882j)
"[0, 0, 0, 0]",(-3.0658370774580757-3.7169039224983207j)
"[0, 0, 0, 1]",(-2.6462040508813485-1.3250760160017245j)
"[1, 1, 1, 0]",(0.9660307237842314+3.191803719554052j)
"[1, 1, 1, 1]",(0.8594946439253082+0.4936350051982038j)
"[0, 0, 1, 0]",(-3.2626294035179777+2.9005554579300594j)
"[0, 0, 1, 1]",(-3.230377830996293+0.6257416389825081j)
"[0, 0, 1, 0]",(-3.5306400722368396+2.6557566983692174j)
"[0, 0, 1, 0]",(-2.612113648304993+2.450614355858397j)
"[0, 1, 1, 1]",(-0.9508464412167278+1.1708058195253703j)
"[1, 1, 0, 0]",(0.23823481143234038-3.3048345290784447j)
"[1, 0, 0, 0]",(3.342739062139256-3.0310753640139816j)
"[1, 1, 1, 0]",(0.40741127343280736+3.4981021779517545j)
"[1, 1, 0, 1]",(0.634889682790617-1.2130533813782791j)
"[0, 0, 1, 1]",(-3.226703313822121+0.06908980337333204j)
"[0, 1, 0, 1]",(-1.7115763440833316-1.0775581672792127j)
"[0, 1, 0, 1]",(-0.8582095381319872-1.481610118461505j)
"[0, 0, 0, 1]",(-3.243781565065266-0.8736724258581591j)
"[1, 1, 0, 0]",(1.3044005541626658-2.1247867255766857j)
"[0, 0, 1, 0]",(-2.6405716019616237+2.2155868922403386j)
"[0, 0, 1, 0]",(-2.831723751742731+2.6764228550503675j)
"[0, 0, 0, 1]",(-2.1800242233253186-1.163958049926696j)
"[0, 0, 1, 0]",(-2.472079049527256+2.2959437826895384j)
"[0, 1, 1, 1]",(-1.632386228645598+1.382049275963327j)
"[0, 0, 1, 1]",(-2.762611300926436+1.1077550135628904j)
"[0, 0, 1, 1]",(-3.0683041064362824+0.6668614920011189j)
"[0, 0, 0, 1]",(-2.5899545097590635-0.49735543585536535j)
